Dataset,Algorithm,CorrelationThreshold,NumFeatures,F1Score,BalancedAccuracy,AUC
Combined,NaiveBayes,0.8,73,0.43599033215388266,0.5689745378444366,0.6793686780606906
Combined,NaiveBayes,0.85,81,0.47337278106508873,0.5894663411231252,0.685211021974189
Combined,NaiveBayes,0.9,90,0.5137620346157473,0.6205964422741542,0.6859958144401814
Combined,NaiveBayes,0.95,101,0.5365002326972941,0.6263515870247646,0.690006975933031
Combined,LogisticRegression,0.8,73,0.7733685161975541,0.6979420997558423,0.7921171956749216
Combined,LogisticRegression,0.85,81,0.7611181657217463,0.6832054412277642,0.8044994768050227
Combined,LogisticRegression,0.9,90,0.7560618669742104,0.6791070805720265,0.8069410533658876
Combined,LogisticRegression,0.95,101,0.7560618669742104,0.6791070805720265,0.8072898500174398
Combined,XGBoost,0.8,73,0.7589162078176961,0.6766655040111615,0.8191489361702128
Combined,XGBoost,0.85,81,0.7763881873286189,0.6955005231949773,0.8249040809208232
Combined,XGBoost,0.9,90,0.7804556802767894,0.7085803976281828,0.8203697244506453
Combined,XGBoost,0.95,101,0.7753102396914416,0.704482036972445,0.8228113010115101
