simple.classes,simple.attributes,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.symbols_max,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.branch_min,modelbased.branch_max,modelbased.attribute_min,modelbased.attribute_max,landmarking.naive_bayes,landmarking.stump_sd,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n2,n4,t1,t2,density,closeness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.coef_min,ela_meta.lin_w_interact.coef_max,ela_disp.ratio_mean_02,ela_disp.dist_all_mean,ela_ic.h_max,ela_ic.eps_s,ela_ic.eps_ratio,ela_cm.mean_ofs_10,ela_lc.r_pearson_dist_centroid,ela_lc.r_pearson_nn,ela_lc.y_skewness,ela_lc.y_kurtosis,nbc.nn_nb.dist.ratio.mean,nbc.nn_nb.dist.ratio.sd,nbc.nb.fitness.ratio.mean,nbc.nb.fitness.ratio.sd,nbc.n_candidates,nbc.dist.ratio.coeff_var,fdc.r,fdc.p_value,fdc.dist.mean,gh.mean,gh.norm.mean,gh.norm.sd,ls.mean,ls.min,ls.ratio,sample.y_max,sample.y_mean
0.0,0.04219395,0.0,-0.095330715,0.05982917,0.0,0.056942377,0.3603085,0.03589104,0.0,0.0,0.23580872,0.0,0.25063294,-0.052202657,0.0,0.0,0.26942894,0.30345765,-0.09252533,0.05685962,0.14182386,0.05799052,-0.41731367,0.0,0.0,0.0,0.009086503,0.0,-0.024731858,0.050702475,1.1868209,0.0,0.028192818,-0.09270104,0.16451079,-0.0074058827,0.0047912225,0.10444656,0.04763454,0.13993464,-0.042589966,-0.005956213,0.0,0.0,0.035992913,0.0077715544,0.055546947,-0.023284879,-0.01649787,0.020836022,0.22481456,0.15000762,0.0343177,0.038369432,0.04943345,0.0,0.39864287,0.0,0.14419173,0.65477675,-0.15326712,1.6321084,0.22073485,-0.030629203,-0.055572964,0.02483925,-0.19137561,-0.113335565,0.017411642,-0.38111615,0.0,0.0030338066,0.011464402,-0.1555874,-0.20685652,0.014951155,-0.01650167,-0.0063699386,0.3485152,-0.016610906
0.0,0.049390517,0.0,-0.30456537,-0.16971621,0.0,0.057967182,-0.5309206,-0.072644085,0.0,0.0,0.09403628,0.0,0.13606173,-0.035013296,0.0,0.0,0.22938406,-0.06865863,0.11184305,-0.05795174,-0.14984453,0.1059901,-0.23958871,0.0,0.0,0.0,0.003799649,0.0,-0.040188476,0.036212824,-0.91246784,0.0,0.025073098,-0.16590826,0.06703071,-0.022546887,0.20586261,-0.004263634,-0.01969729,-0.22339416,0.028908521,-0.010371937,0.0,0.0,-0.056192316,-0.028452482,-0.023230122,-0.0831408,-0.09017888,0.020836022,0.12787968,-0.14626285,0.0047140345,-0.01338744,0.21350168,0.0,-0.0956764,0.0,0.026655447,-0.39828947,-0.11473332,-0.66276246,-0.043515738,-0.03949699,-0.038431853,0.010546386,-0.25711668,-0.34200427,0.0067094173,-0.62374115,0.0,-0.06633721,0.011464402,-0.17581418,-0.7929479,0.025404345,-0.04484333,-0.042395208,0.12808567,-0.08539145
0.0,0.056233764,0.0,0.3437963,0.16978258,0.0,0.057831164,0.43957332,0.014341526,0.0,0.0,0.25915605,0.0,0.23258209,-0.070472255,0.0,0.0,0.39804223,-0.063723385,0.14446476,0.06816522,0.1590462,-0.2822866,0.75007355,0.0,0.0,0.0,0.009086503,0.0,-0.05132007,0.10244571,1.3152198,0.0,0.011748772,-0.009626185,0.16451079,-0.024256691,-0.170845,0.04059762,0.10005361,0.18873526,0.04471879,-0.011739994,0.0,0.0,0.037798252,0.016376223,0.13774778,0.09003719,-0.027162427,0.020836022,-0.15704909,0.15000762,0.016968608,0.038369432,-0.2579577,0.0,-0.23183748,0.0,0.052053783,0.03450118,0.13238402,-0.28662178,-0.043515738,-0.0296431,-0.09359898,0.017740404,-0.20840302,-0.16723096,0.037477802,-0.33709714,0.0,0.032673795,0.011464402,-0.13244148,0.38229436,-0.067276545,0.04452329,-0.0061646886,0.39759123,-0.0079197185
0.0,0.05551423,0.0,0.17859368,0.18691355,0.0,0.057831164,0.34097418,0.19533594,0.0,0.0,0.2866842,0.0,0.24962014,0.031879626,0.0,0.0,0.36270234,0.09184156,0.14446476,0.0598386,-0.03508243,-0.29396763,0.5930346,0.0,0.0,0.0,0.009086503,0.0,-0.042416837,0.048187997,1.2751139,0.0,-0.049900234,-0.046270877,0.14111362,0.013314355,-0.0862139,0.044267762,0.09565486,0.13993464,-0.022403188,-0.0040003294,0.0,0.0,0.037798252,0.007495982,0.11230865,0.007154571,-0.018543469,0.020836022,0.16976662,0.15000762,0.04214276,0.038369432,0.14489579,0.0,0.3117895,0.0,0.13293904,-0.16092168,-0.24972527,0.5861879,-0.030444484,-0.0296431,-0.05870053,0.010546386,-0.09969553,-0.1431417,0.021588756,-0.44781473,0.0,-0.09712486,0.011464402,-0.16998407,-0.5022024,-0.10456486,-0.01650167,-0.0039591435,0.2517894,-0.009433178
0.0,0.05551423,0.0,0.24261034,0.23695073,0.0,0.057831164,0.33557832,0.039955802,0.0,0.0,0.28385833,0.0,0.2098888,0.019423887,0.0,0.0,0.24652894,0.12932418,-0.05084877,0.05685962,-0.17503504,0.11964632,0.47287944,0.0,0.0,0.0,0.009086503,0.0,-0.019520594,-0.15532021,1.0344676,0.0,0.04988064,-0.13603234,0.11974156,-0.01576787,0.007001955,0.045728642,0.04763454,0.18873526,-0.042589966,-0.0040003294,0.0,0.0,0.013060581,0.008273571,0.07332796,-0.007561858,-0.01649787,0.020836022,0.18282431,0.15000762,-0.4002022,0.038369432,0.2002971,0.0,0.12029183,0.0,0.07716443,0.43522283,-0.14377053,1.1919496,0.14701562,-0.026223427,0.004723455,-0.06081355,-0.18319923,-0.10025446,0.02437175,-0.1016563,0.0,0.034938894,0.011464402,0.383348,-0.17355582,-0.28168738,-0.01650167,-0.0039591435,0.2779482,-0.009433178
0.0,0.04219395,0.0,-0.14492604,0.05982917,0.0,0.056942377,0.3603085,0.033321656,0.0,0.0,0.23580872,0.0,0.17774239,-0.02939615,0.0,0.0,0.2664939,0.29674497,-0.05084877,0.05685962,-0.15250018,0.08094886,0.28519392,0.0,0.0,0.0,0.009086503,0.0,-0.024731858,0.04848124,1.2364879,0.0,0.03041703,-0.10477211,0.14111362,-0.01587174,0.0047912225,0.10444656,0.045677155,0.13993464,-0.011673653,-0.005956213,0.0,0.0,0.039941985,-0.014665447,0.049086787,-0.023284879,-0.01649787,0.020836022,0.11411464,0.15000762,0.0343177,0.038369432,0.09403504,0.0,0.19366243,0.0,0.047932494,0.7085021,-0.15326712,1.6450874,0.22073485,-0.030629203,-0.051009923,0.010546386,-0.17186147,-0.12811697,0.037659783,-0.48827115,0.0,0.0030338066,0.011464402,-0.18862174,-0.57829344,0.049853984,-0.01650167,-0.0063699386,0.35167646,-0.016610906
0.0,-0.02864406,0.0,-0.3407131,-0.084089056,0.0,0.057967182,-0.44303828,0.05690667,0.0,0.0,0.09576832,0.0,0.015997069,-0.03866566,0.0,0.0,0.25067395,-0.101829246,0.0546638,0.059270874,-0.0933031,-0.6028871,-0.3626672,0.0,0.0,0.0,-0.0048830016,0.0,-0.03852741,0.09592994,-0.89875793,0.0,-0.066344276,-0.09451988,-0.09900821,-0.0489203,-0.11856722,0.015837295,-0.10451955,-0.3369522,0.021928031,-0.010371937,0.0,0.0,-0.03131862,0.012220484,-0.16307972,-0.086445406,-0.026336035,-0.030113949,0.2927981,0.15000762,0.0047140345,0.014752143,-0.24673457,0.0,-0.24909665,0.0,0.040801097,-0.09853523,-0.30140537,-0.49712208,-0.014083447,-0.03949699,-0.10596401,0.008411626,0.52399707,0.18947744,-0.08039943,-0.07405028,0.0,-0.033901077,-0.0125571545,-0.2733085,-0.910732,-0.06111117,-0.04484333,-0.042395208,0.122272715,-0.043540612
0.0,-0.052068137,0.0,-0.14492604,-0.046214208,0.0,0.056942377,0.29998887,0.19134724,0.0,0.0,0.15020637,0.0,0.2730647,0.015148104,0.0,0.0,0.24951366,0.2763692,-0.116326824,0.04519046,-0.14672257,0.014974058,-0.30614632,0.0,0.0,0.0,0.009086503,0.0,-0.019520594,0.10052269,1.1850537,0.0,0.025073098,-0.10477211,-0.13320246,-0.01587174,0.0047912225,0.10444656,0.045677155,0.13993464,-0.022403188,-0.005956213,0.0,0.0,0.026896134,-0.028452482,0.040691145,-0.0047286274,-0.01649787,0.020836022,0.20073316,0.15000762,0.0343177,0.038369432,0.23419921,0.0,-0.1016869,0.0,0.026655447,-0.24197608,-0.15326712,1.5430421,0.21013635,0.022307917,0.019008344,0.010546386,-0.17186147,0.22023058,0.07837634,-0.500833,0.0,0.0030338066,0.032791603,-0.18490785,-0.5956222,-0.15826018,-0.01650167,-0.0063699386,0.3970425,-0.016610906
0.0,-0.10288125,0.0,-0.21107915,-0.07607007,0.0,-0.04063439,0.24928313,-0.0075724684,0.0,0.0,0.10173547,0.0,-0.1436246,-0.08666696,0.0,0.0,-0.20494963,0.14280239,0.051241256,0.04324443,0.093300074,-0.59611386,-0.66780216,0.0,0.0,0.0,-0.01743799,0.0,0.13035105,0.04132563,0.7130826,0.0,-0.06126851,0.03346381,-0.12885787,0.05505172,-0.07468953,0.028730324,-0.14279273,-0.36911947,0.028908521,-0.012348633,0.0,0.0,-0.014170495,0.012220484,-0.16503073,-0.048562344,-0.013496511,0.020836022,0.1721347,0.15000762,-0.4080273,0.038369432,-0.27102172,0.0,-0.24043179,0.0,0.040801097,-0.44905627,-0.38346016,-0.5805192,-0.009080026,-0.078438014,-0.10883338,0.009710375,0.24582043,-0.3892372,0.027089914,0.2257372,0.0,-0.035783768,0.009196964,-0.22768946,-0.829517,-0.14369817,-0.04484333,-0.012588564,-0.348575,0.016786756
0.0,0.013220509,0.0,-0.20475452,-0.05769241,0.0,-0.041005358,0.16334623,0.035012297,0.0,0.0,0.29869193,0.0,0.7915485,0.13159424,0.0,0.0,-0.14336094,-0.08803476,-0.123760805,-0.0052464157,0.14481902,1.2481279,0.0063071437,0.0,0.0,0.0,-0.0048830016,0.0,0.21292114,0.06628335,-0.6425375,0.0,0.1561887,0.04968133,-0.044836186,-0.008588802,0.01910668,0.024126614,-0.03578821,0.22112805,0.021928031,-0.007910885,0.0,0.0,0.08339044,0.0060259434,0.008627009,-0.0028587803,-0.003989476,-0.030113949,0.45402646,0.15000762,0.0047140345,0.038369432,0.3974006,0.0,-0.15458669,0.0,0.040801097,-0.051565476,-0.26352295,-0.3253634,-0.014083447,-0.03949699,-0.047739908,0.01374558,-0.2358289,-0.21114652,0.0067094173,-0.2076376,0.0,-0.003074443,0.009196964,-0.20531979,-0.62061244,0.13864966,-0.04484333,0.16901988,0.10585132,0.22727044
