pair,DecisionTree_0.8,DecisionTree_0.85,DecisionTree_0.9,DecisionTree_0.95,KNN_0.85,KNN_0.9,KNN_0.95,LogisticRegression_0.8,LogisticRegression_0.95,NaiveBayes_0.85,NaiveBayes_0.9,NaiveBayes_0.95,RandomForest_0.8,RandomForest_0.85,RandomForest_0.9,RandomForest_0.95,SVM_Linear_0.8,SVM_Linear_0.85,SVM_Linear_0.9,SVM_Linear_0.95,SVM_RBF_0.8,SVM_RBF_0.85,SVM_RBF_0.9,SVM_RBF_0.95,XGBoost_0.8,XGBoost_0.9,XGBoost_0.95
NaiveBayes_0.9,0.9991065742317694,0.9836193833209935,0.9540626252643167,0.994317242181471,0.9999999999997136,0.99999999064313,0.9999936950148558,0.5253192279865186,0.020703692442283206,1.0,1.0,1.0,0.8965041145281665,0.9984086367891628,0.9955133739196321,0.8229399602037036,0.016724195704896805,0.5137767761683306,0.2566496787916246,0.6062947013534672,0.9865372407850834,0.9998263460869884,0.9999998615497596,0.9083765175963067,0.002932862476101583,0.0006179687263966338,0.0001317333096322315
NaiveBayes_0.95,0.9890184261136048,0.9193065639939728,0.839510885820345,0.9606801533273356,0.9999999955585157,0.9999961229789819,0.9996535952852489,0.7483137428908313,0.056027818000501384,0.9999999999997136,1.0,1.0,0.9762698381358057,0.999944072666194,0.9997532177978287,0.9466558964371675,0.046369618181340666,0.7381503019464577,0.45677960818652086,0.8143229333217274,0.998801413841209,0.9999976591151117,0.999999999936766,0.9802142080676051,0.009616112461184212,0.0022845503220415564,0.0005394111133191215
RandomForest_0.8,0.038182707983156705,0.010765450022547585,0.005380458602599614,0.018618582409802742,0.5022698667685026,0.2739103755615715,0.12291942427113767,0.999999999999919,0.9955133739196321,0.7278263805297707,0.8965041145281665,0.9762698381358057,1.0,0.9999999999970661,0.9999999999999788,1.0,0.9928634777975169,0.9999999999998462,0.9999999808749866,0.9999999999999994,1.0,0.9999999979583425,0.9999841665464783,1.0,0.9083765175963067,0.7067315521041703,0.45677960818652086
RandomForest_0.85,0.24009217211301315,0.0957706217535631,0.056027818000501384,0.14413796570611526,0.9193065639939728,0.7483137428908316,0.5022698667685026,0.9999961229789819,0.839510885820345,0.9836193833209935,0.9984086367891628,0.999944072666194,0.9999999999970661,1.0,1.0,0.999999999611502,0.8054910303219642,0.9999950447998242,0.999341155651859,0.9999993912119566,1.0,1.0,0.9999999999970661,0.9999999999990531,0.4793995383811024,0.24009217211301315,0.1042251092061317
RandomForest_0.9,0.18101671691108434,0.06734852026942018,0.038182707983156705,0.1042251092061317,0.869899681402973,0.663010637639488,0.4125552273299853,0.9999995421559613,0.8965041145281663,0.9665543009186827,0.9955133739196321,0.9997532177978287,0.9999999999999788,1.0,1.0,0.999999999991406,0.869899681402973,0.9999993912119566,0.9998263460869884,0.9999999469990126,1.0,1.0,0.9999999998399527,0.9999999999999949,0.5716522202782452,0.31047887905734883,0.14413796570611492
RandomForest_0.95,0.02299555554125232,0.006055887411467786,0.002932862476101583,0.010765450022547585,0.3910710469811205,0.19471095503124325,0.0805295574661149,1.0,0.998801413841209,0.6177674662755619,0.8229399602037036,0.9466558964371675,1.0,0.999999999611502,0.999999999991406,1.0,0.9979082678209442,0.9999999999999999,0.999999999611502,1.0,0.9999999999999788,0.9999999265421827,0.9998793576706971,1.0,0.9540626252643166,0.8054910303219642,0.5716522202782448
SVM_Linear_0.8,9.814009543140934e-06,1.3571205617068927e-06,4.830279698442297e-07,3.1393661463763323e-06,0.0015589882716071646,0.0003567612786928853,7.311307301915981e-05,0.9999841665464783,1.0,0.005380458602599614,0.016724195704896805,0.046369618181340666,0.9928634777975169,0.8054910303219642,0.869899681402973,0.9979082678209442,1.0,0.9999873434374791,0.99999999064313,0.9999318681823472,0.9293120974043294,0.663010637639488,0.3297424806850564,0.9911117155224373,0.9999999999999998,0.999999999611502,0.9999991948281609
SVM_Linear_0.85,0.00449709422399025,0.000987260684622071,0.0004391341400544757,0.0018893008221773089,0.149855248460257,0.05869448715022996,0.019636317066507036,1.0,0.9999950447998242,0.3010871468455585,0.5137767761683306,0.7381503019464577,0.9999999999998462,0.9999950447998242,0.9999993912119566,0.9999999999999999,0.9999873434374791,1.0,1.0,1.0,0.9999999729513048,0.9998999401799017,0.9920274960952441,0.9999999999994752,0.9976106345421005,0.9692277732416091,0.862653611878451
SVM_Linear_0.9,0.0009240006934386757,0.00017589671801920836,7.311307301915981e-05,0.0003567612786928853,0.051003058371835386,0.016724195704896694,0.004775370774816934,1.0,0.9999999979583425,0.122919424271137,0.2566496787916246,0.45677960818652086,0.9999999808749866,0.999341155651859,0.9998263460869884,0.999999999611502,0.99999999064313,1.0,1.0,0.9999999999999976,0.9999755156985765,0.9955133739196321,0.9293120974043293,0.9999999620090954,0.9999627192984291,0.9979082678209442,0.9762698381358057
SVM_Linear_0.95,0.007217000921284522,0.0016625250124673308,0.0007564460835017828,0.003119913127000107,0.2018258499331712,0.08413893579568676,0.029743419842025554,1.0,0.9999697302534335,0.38050975116808583,0.6062947013534672,0.8143229333217274,0.9999999999999994,0.9999993912119566,0.9999999469990126,1.0,0.9999318681823472,1.0,0.9999999999999976,1.0,0.9999999986331978,0.9999802717766147,0.9969044536090547,0.9999999999999976,0.9936250096720188,0.9426433125297272,0.796449498451201
SVM_RBF_0.8,0.12291942427113745,0.04210383954849173,0.02299555554125221,0.06734852026942018,0.7872040657675163,0.5484726575144252,0.3104788790573483,0.9999999808749866,0.9466558964371673,0.9293120974043294,0.9865372407850834,0.998801413841209,1.0,1.0,1.0,0.9999999999999788,0.9293120974043294,0.9999999729513048,0.9999755156985765,0.9999999986331978,1.0,0.9999999999999989,0.99999999064313,1.0,0.6851010487758582,0.41255522732998573,0.20912005203713735
SVM_RBF_0.85,0.3700771551837786,0.16803041056887658,0.1042251092061317,0.24009217211301315,0.9717338942461285,0.869899681402973,0.663010637639488,0.9999172910780151,0.7067315521041703,0.9964888555450232,0.9998263460869884,0.9999976591151117,0.9999999979583425,1.0,1.0,0.9999999265421827,0.663010637639488,0.9998999401799017,0.9955133739196321,0.9999802717766147,0.9999999999999989,1.0,0.9999999999999998,0.9999999990930152,0.3297424806850564,0.14413796570611526,0.056027818000501384
SVM_RBF_0.9,0.7067315521041703,0.43447729773736965,0.3104788790573483,0.5484726575144252,0.9991065742317694,0.9865372407850834,0.9193065639939728,0.9928634777975169,0.3700771551837786,0.9999755156985765,0.9999998615497596,0.999999999936766,0.9999841665464783,0.9999999999970661,0.9999999998399527,0.9998793576706971,0.3297424806850564,0.9920274960952441,0.9293120974043293,0.9969044536090547,0.99999999064313,0.9999999999999998,1.0,0.9999899243692061,0.11326719059689005,0.038182707983156705,0.012038918394938758
SVM_RBF_0.95,0.04210383954849173,0.012038918394938758,0.006055887411467786,0.020703692442283206,0.5253192279865186,0.291859924406042,0.13320310554441506,0.9999999999997136,0.994317242181471,0.7483137428908313,0.9083765175963067,0.9802142080676051,1.0,0.9999999999990531,0.9999999999999949,1.0,0.9911117155224373,0.9999999999994752,0.9999999620090954,0.9999999999999976,1.0,0.9999999990930152,0.9999899243692061,1.0,0.8965041145281665,0.6851010487758584,0.43447729773736965
XGBoost_0.8,8.125818389270734e-07,9.71750508949043e-08,3.219336908166781e-08,2.38733078194997e-07,0.00020298355711712013,4.001986978696692e-05,7.115489079279058e-06,0.9972771686258474,0.9999999999999949,0.0008088072921085265,0.002932862476101583,0.009616112461184212,0.9083765175963067,0.4793995383811024,0.5716522202782452,0.9540626252643166,0.9999999999999998,0.9976106345421005,0.9999627192984291,0.9936250096720188,0.6851010487758582,0.3297424806850564,0.11326719059689005,0.8965041145281665,1.0,1.0,0.999999999991406
XGBoost_0.9,9.71750508949043e-08,1.0366685732066117e-08,3.245013480146497e-09,2.670550947048156e-08,3.43491589823719e-05,6.051258681250005e-06,9.648672312234652e-07,0.9665543009186828,0.9999999979583425,0.00015228906988340452,0.0006179687263966338,0.0022845503220415564,0.7067315521041703,0.24009217211301315,0.31047887905734883,0.8054910303219642,0.999999999611502,0.9692277732416091,0.9979082678209442,0.9426433125297272,0.41255522732998573,0.14413796570611526,0.038182707983156705,0.6851010487758584,1.0,1.0,1.0
XGBoost_0.95,1.2546307104344123e-08,1.2063989807131748e-09,3.58582941117902e-10,3.245013480146497e-09,6.051258681250005e-06,9.648672312234652e-07,1.3955102784457551e-07,0.8551719457209952,0.9999976591151117,2.9456917358672285e-05,0.0001317333096322315,0.0005394111133191215,0.45677960818652086,0.1042251092061317,0.14413796570611492,0.5716522202782448,0.9999991948281609,0.862653611878451,0.9762698381358057,0.796449498451201,0.20912005203713735,0.056027818000501384,0.012038918394938758,0.43447729773736965,0.999999999991406,1.0,1.0
